title,filename,source_fulltext_url,fulltext_url,version,copyright_statement,distribution_license,embargo_date,keywords,Abstract,author1_fname,author1_mname,author1_lname,author1_suffix,author1_email,author1_institution,author1_is_corporate,author2_fname,author2_mname,author2_lname,author2_suffix,author2_email,author2_institution,author2_is_corporate,author3_fname,author3_mname,author3_lname,author3_suffix,author3_email,author3_institution,author3_is_corporate,author4_fname,author4_mname,author4_lname,author4_suffix,author4_email,author4_institution,author4_is_corporate,author5_fname,author5_mname,author5_lname,author5_suffix,author5_email,author5_institution,author5_is_corporate,author6_fname,author6_mname,author6_lname,author6_suffix,author6_email,author6_institution,author6_is_corporate,author7_fname,author7_mname,author7_lname,author7_suffix,author7_email,author7_institution,author7_is_corporate,author8_fname,author8_mname,author8_lname,author8_suffix,author8_email,author8_institution,author8_is_corporate,author9_fname,author9_mname,author9_lname,author9_suffix,author9_email,author9_institution,author9_is_corporate,author10_fname,author10_mname,author10_lname,author10_suffix,author10_email,author10_institution,author10_is_corporate,author11_fname,author11_mname,author11_lname,author11_suffix,author11_email,author11_institution,author11_is_corporate,author12_fname,author12_mname,author12_lname,author12_suffix,author12_email,author12_institution,author12_is_corporate,author13_fname,author13_mname,author13_lname,author13_suffix,author13_email,author13_institution,author13_is_corporate,author14_fname,author14_mname,author14_lname,author14_suffix,author14_email,author14_institution,author14_is_corporate,author15_fname,author15_mname,author15_lname,author15_suffix,author15_email,author15_institution,author15_is_corporate,author16_fname,author16_mname,author16_lname,author16_suffix,author16_email,author16_institution,author16_is_corporate,author17_fname,author17_mname,author17_lname,author17_suffix,author17_email,author17_institution,author17_is_corporate,author18_fname,author18_mname,author18_lname,author18_suffix,author18_email,author18_institution,author18_is_corporate,author19_fname,author19_mname,author19_lname,author19_suffix,author19_email,author19_institution,author19_is_corporate,author20_fname,author20_mname,author20_lname,author20_suffix,author20_email,author20_institution,author20_is_corporate,article_desc,disciplines,comments,create_openurl,custom_citation,document_type,doi,honors_pub,issn,volnum,issnum,source_publication,fpage,lpage,peer_reviewed,mcnair,orcid_id,publication_date,season
"State Estimation of a Muscle-Driven Linkage",!!!put FileName Here!!!,,,,,,,"control nonlinearities, Kalman filters, muscle, state estimation, state estimation, muscle-driven linkage, tendon-muscle lengths, high-gain observer, joint velocities, muscle-tendon length rates, sliding mode observer, two-joint six-muscle linkage, extended Kalman filter, Muscles, Mathematical model, Observers, Couplings, Noise measurement, Tuning","This paper addresses the problem of state estimation of a two-joint six-muscle linkage. It is assumed that noisy measurements of the joint angles are available. It is shown that the joint's velocities, tendon-muscle lengths and rates of tendon-muscle lengths can be estimated using a high-gain observer (HGO), sliding mode observer (SMO), and extended Kalman filter (EKF). The estimated states are passed to the controller of the system, which is a backstepping controller. The results verify the effectiveness of the observers for the state estimation of the two-joint six-muscle model. The standard deviations of the estimation errors are very small, on the order of 10-4- 10-2rad for joint angles, 10-3-10-1rad/s for joint velocities, 10-4-10-3m for muscle-tendon length, and 10-5-10-3m/s for muscle-tendon length rates. In general the HGO and EKF performed better than the SMO for this system and is less sensitive to measurement noise.","H.",,"Mohammadi",,,"Cleveland State University, Department of Electrical Engineering and Computer Science, Cleveland, 44115, USA",,"D.",,"Simon",,,"Cleveland State University, Faculty of the Department of Electrical Engineering and Computer Science, Cleveland, 44115, USA",,"H.",,"Richter",,,"Cleveland State University, Faculty of the Department of Mechanical Engineering, Cleveland, 44115, USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"conference proceeding","10.23919/ACC.2018.8431690",,,"","","2018 Annual American Control Conference (ACC)","5025","5030",,,,"27-29 June 2018",,
"Oppositional biogeography-based optimization",!!!put FileName Here!!!,,,,,,,"evolutionary computation, learning (artificial intelligence), mathematical analysis, probability, oppositional biogeography-based optimization, evolutionary algorithm, global optimization, opposition-based learning, oppositional BBO, mathematical analysis, Evolutionary computation, USA Councils, Reflection, Intersymbol interference, Cybernetics, Analytical models, Mathematical analysis, Biogeography, Genetic mutations, Acceleration, Biogeography-based optimization (BBO), evolutionary algorithms, opposition-based learning, opposite numbers, quasi-opposite numbers, quasi-reflected numbers, probability","We propose a novel variation to biogeography-based optimization (BBO), which is an evolutionary algorithm (EA) developed for global optimization. The new algorithm employs opposition-based learning (OBL) alongside BBO's migration rates to create oppositional BBO (OBBO). Additionally, a new opposition method named quasi-reflection is introduced. Quasi-reflection is based on opposite numbers theory and we mathematically prove that it has the highest expected probability of being closer to the problem solution among all OBL methods. The oppositional algorithm is further revised by the addition of dynamic domain scaling and weighted reflection. Simulations have been performed to validate the performance of quasi-opposition as well as a mathematical analysis for a single-dimensional problem. Empirical results demonstrate that with the assistance of quasi-reflection, OBBO significantly outperforms BBO in terms of success rate and the number of fitness function evaluations required to find an optimal solution.","M.",,"Ergezer",,,"Cleveland State University, Department of Electrical and Computer Engineering, Cleveland, Ohio, USA",,"D.",,"Simon",,,"Cleveland State University, Department of Electrical and Computer Engineering, Cleveland, Ohio, USA",,"D.",,"Du",,,"Cleveland State University, Department of Electrical and Computer Engineering, Cleveland, Ohio, USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"conference proceeding","10.1109/ICSMC.2009.5346043",,,"","","2009 IEEE International Conference on Systems, Man and Cybernetics","1009","1014",,,,"11-14 Oct. 2009",,
"Biogeography-based optimization combined with evolutionary strategy and immigration refusal",!!!put FileName Here!!!,,,,,,,"evolutionary computation, optimisation, statistical testing, biogeography-based optimization, BBO, evolutionary strategy, ES, immigration refusal approach, heuristic algorithm, F-test value, T-test value, Heuristic algorithms, Genetic mutations, Biogeography, USA Councils, Benchmark testing, Cybernetics, Statistical analysis, Animals, Probability, Wheels, Biogeography-based optimization, heuristic algorithm, evolutionary strategy, immigration refusal","Biogeography-based optimization (BBO) is a recently developed heuristic algorithm which has shown impressive performance on many well known benchmarks. In order to improve BBO, this paper incorporates distinctive features from other successful heuristic algorithms into BBO. In this paper, features from evolutionary strategy (ES) are used for BBO modification. Also, a new immigration refusal approach is added to BBO. After the modification of BBO, F-tests and T-tests are used to demonstrate the differences between different implementations of BBOs.","D.",,"Du",,,"Department of Electrical and Computer Engineering, Cleveland State University, Cleveland, Ohio, USA",,"D.",,"Simon",,,"Department of Electrical and Computer Engineering, Cleveland State University, Cleveland, Ohio, USA",,"M.",,"Ergezer",,,"Department of Electrical and Computer Engineering, Cleveland State University, Cleveland, Ohio, USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"conference proceeding","10.1109/ICSMC.2009.5346055",,,"","","2009 IEEE International Conference on Systems, Man and Cybernetics","997","1002",,,,"11-14 Oct. 2009",,
"Safe navigation in dynamic, unknown, continuous, and cluttered environments",!!!put FileName Here!!!,,,,,,,"collision avoidance, mobile robots, path planning, safe navigation, ProbLP, probabilistic local planner, autonomous robot, reactive planner, simulated environments, straight-line local planner, Robot sensing systems, Trajectory, Planning, Robot kinematics, Navigation, Safety","We introduce ProbLP, a probabilistic local planner, for safe navigation of an autonomous robot in dynamic, unknown, continuous, and cluttered environments. We combine the proposed reactive planner with an existing global planner and evaluate the hybrid in challenging simulated environments. The experiments show that our method achieves a 77% reduction in collisions over the straight-line local planner we use as a benchmark.","M.",,"D'Arcy",,,"Electrical Engineering and Computer Science Department, Cleveland State University, Cleveland, OH 44115, USA",,"P.",,"Fazli",,,"Electrical Engineering and Computer Science Department, Cleveland State University, Cleveland, OH 44115, USA",,"D.",,"Simon",,,"Electrical Engineering and Computer Science Department, Cleveland State University, Cleveland, OH 44115, USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"conference proceeding","10.1109/SSRR.2017.8088169",,,"","","2017 IEEE International Symposium on Safety, Security and Rescue Robotics (SSRR)","238","244",,,,"11-13 Oct. 2017",,
"Population distributions in biogeography-based optimization algorithms with elitism",!!!put FileName Here!!!,,,,,,,"biology, genetic algorithms, Markov processes, probability, biogeography-based optimization algorithm, population distribution, evolutionary algorithm, geographical organism distribution, island, Markov analysis, probability, genetic algorithm, Intersymbol interference, Biogeography, Genetic mutations, Evolutionary computation, Algorithm design and analysis, Performance analysis, USA Councils, Genetic algorithms, Mathematical model, Cybernetics, biogeography-based optimization, evolutionary algorithms, probability, combinatorics, Markov analysis","Biogeography-based optimization (BBO) is an evolutionary algorithm that is based on the science of biogeography. Biogeography is the study of the geographical distribution of organisms. In BBO, problem solutions are represented as islands, and the sharing of features between solutions is represented as migration between islands. This paper develops a Markov analysis of BBO, including the option of elitism. Our analysis gives the probability of BBO convergence to each possible population distribution for a given problem. We compare our BBO Markov analysis with a similar genetic algorithm (GA) Markov analysis. Analytical comparisons on three simple problems show that with high mutation rates the performance of GAs and BBO is similar, but with low mutation rates BBO outperforms GAs. Our analysis also shows that elitism is not necessary for all problems, but for some problems it can significantly improve performance.","D.",,"Simon",,,"Cleveland State University, Department of Electrical and Computer Engineering, Cleveland, Ohio, USA",,"M.",,"Ergezer",,,"Cleveland State University, Department of Electrical and Computer Engineering, Cleveland, Ohio, USA",,"D.",,"Du",,,"Cleveland State University, Department of Electrical and Computer Engineering, Cleveland, Ohio, USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"conference proceeding","10.1109/ICSMC.2009.5346058",,,"","","2009 IEEE International Conference on Systems, Man and Cybernetics","991","996",,,,"11-14 Oct. 2009",,
"Hybrid function approximation based control with application to prosthetic legs",!!!put FileName Here!!!,,,,,,,"Prosthetics, Robot kinematics, Legged locomotion, Hip, Thigh, Knee","We develop a hybrid controller for an n-degree of freedom robot where one control approach is used for some joints while another control approach is used for the remaining joints. We combine Slotine and Li's regressor based control, and function approximation technique (FAT) based regressorfree control, to obtain a coupled controller. We verify the closed loop stability of the hybrid controller via Lyapunov functions and update laws to show that the tracking errors approach zero as time approaches infinity. We then apply the controller to an uncertain model of a robotic system comprised of a prosthesis which emulates the angular knee motion of a human leg, and a prosthesis test robot which emulates the vertical hip motion and the angular thigh motion of a human. Simulation results show good reference trajectory tracking in the presence of ground reaction forces while keeping the control signal magnitudes reasonably small. The minimum tracking errors were 1.57% for the hip vertical hip motion, 0.29% for the thigh angle, and 0.34% for the knee angle (relative to their respective ranges of motion). The maximum steady-state control signal magnitudes were 840 N, 456 Nm, and 253 Nm for the hip vertical hip motion, thigh angle, and knee angle respectively.","D.",,"Ebeigbe",,,"Department of Electrical Engineering and Computer Science, Cleveland State University, Cleveland, Ohio 44115",,"D.",,"Simon",,,"Department of Electrical Engineering and Computer Science, Cleveland State University, Cleveland, Ohio 44115",,"H.",,"Richter",,,"Department of Mechanical Engineering, Cleveland State University, Cleveland, Ohio 44115",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"conference proceeding","10.1109/SYSCON.2016.7490530",,,"","","2016 Annual IEEE Systems Conference (SysCon)","1","6",,,,"18-21 April 2016",,
"Design optimization and control of a crank-slider actuator for a lower-limb prosthesis with energy regeneration",!!!put FileName Here!!!,,,,,,,"actuators, friction, mean square error methods, optimisation, prosthetics, RMS error, Coulomb friction model, knee prosthesis, amputee kinetics, amputee kinematics, energy regeneration, lower-limb prosthesis, crank-slider actuator, design optimization, Actuators, Knee, Friction, Mathematical model, Fasteners, Prosthetics, Kinematics","Recently as technology has progressed, interest in powered prostheses has expanded in an attempt to improve kinematics and kinetics for amputees. The current state of this art is described, noting that most powered knee prosthesis designs do not consider the energy regeneration potential of the natural knee. Three actuator models for the knee joint and its control method are designed, optimized, and evaluated using simulation models. The first model excludes mechanical losses. The second includes a Coulomb friction model. A more coarse efficiency model accounting for the mechanical losses is used in the third case. Energy regeneration of 11.94 J per stride resulted for the first model. The second model gave a total of 7.95 J per stride. Lastly, 1.94 J per stride were regenerated in the third model's simulation. In addition, sufficiently accurate gait tracking was realized with a total RMS error on the order of 10-3 rad or less for all models.","H.",,"Warner",,,"Cleveland State University, Cleveland, OH, United",,"D.",,"Simon",,,"Cleveland State University, Cleveland, OH, United",,"H.",,"Richter",,,"Cleveland State University, Cleveland, OH, United",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"conference proceeding","10.1109/AIM.2016.7576971",,,"","","2016 IEEE International Conference on Advanced Intelligent Mechatronics (AIM)","1430","1435",,,,"12-15 July 2016",,
"Multi-objective optimization of decision trees for power system voltage security assessment",!!!put FileName Here!!!,,,,,,,"Sociology, Optimization, Principal component analysis, Indexes, Security, Phasor measurement units, Biogeography-Based Optimization, Decision Tree, Multi-Objective Optimization, Invasive Weed Optimization, PMU, Principal Component Analysis, Voltage Security assessment","A method is proposed for online power system voltage security assessment (VSA) using decision trees (DTs). The DT inputs are the data gathered from phasor measurement units (PMUs). The dimensions of the training data are reduced in two ways. First, the number of features is decreased by principal component analysis (PCA). Second, the number of training cases is decreased by correlation analysis. Biogeography-based optimization (BBO) and invasive weed optimization (IWO) are combined with four multi-objective (MO) optimization methods to find the optimum dimensions of the PMU data while minimizing the misclassification rate of the security test. The four MO methods include vector evaluation (VE), nondominated sorting (NS), niched Pareto (NP), and strength Pareto (SP). A systematic comparison of MOIWO and MOBBO is conducted using Pareto front hypervolume and relative coverage. The method is applied to a 66-bus power grid in Iran. The results show that the training data size is reduced by about 98%, and the training time is approximately 200 times faster because of the dimension reduction. The misclassification rates of the DTs are in the range of 4â€“9%. Hypervolume and relative coverage indicate that VEBBO performs better than the other methods.","H.",,"Mohammadi",,,"Department of Electrical and Computer Engineering, Cleveland State University, Cleveland, Ohio, USA",,"G.",,"Khademi",,,"Department of Electrical and Computer Engineering, Cleveland State University, Cleveland, Ohio, USA",,"D.",,"Simon",,,"Department of Electrical and Computer Engineering, Cleveland State University, Cleveland, Ohio, USA",,"M.",,"Dehghani",,,"Department of Electrical and Computer Engineering, Shiraz University, Shiraz, Fars, Iran",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"conference proceeding","10.1109/SYSCON.2016.7490524",,,"","","2016 Annual IEEE Systems Conference (SysCon)","1","6",,,,"18-21 April 2016",,
"Robust Regressor-Free Control of Rigid Robots Using Function Approximations",!!!put FileName Here!!!,,,,,,,"Robots, Fats, Control systems, Uncertainty, Mathematical model, Gravity, Dynamics, Function approximation technique (FAT), Lyapunov stability, motion control, passivity, robust control.","This paper develops a novel regressor-free robust controller for rigid robots whose dynamics can be described using the Euler-Lagrange equations of motion. The function approximation technique (FAT) is used to represent the robot's inertia matrix, the Coriolis matrix, and the gravity vector as finite linear combinations of orthonormal basis functions. The proposed controller establishes a robust FAT control framework that uses a fixed control structure. The control objectives are to track reference trajectories in worst case scenarios where the robot dynamics are too costly to develop or otherwise unavailable. Detailed stability analysis via Lyapunov functions, the passivity property, and continuous switching laws shows uniform ultimate boundedness of the closed-loop dynamics. The simulation results of a three-degree-of-freedom (DOF) robot when the robot parameters are perturbed from their nominal values show good robustness of the proposed controller when compared with some well-established control methods. We also demonstrate success in the real-time experimental implementation of the proposed controller, which validates practicality for real-world robotic applications.","D.",,"Ebeigbe",,,"Embedded Control Systems Research Laboratory, Department of Electrical Engineering and Computer Science, Cleveland State University, Cleveland, OH 44115 USA.",,"T.",,"Nguyen",,,"Modeling Evolutionary Algorithms Simulation and Artificial Intelligence, Faculty of Electrical and Electronics Engineering, Ton Duc Thang University, Ho Chi Minh City 700000, Vietnam (e-mail: nguyentienthang@tdtu.edu.vn).",,"H.",,"Richter",,,"Controls, Robotics, and Mechatronics Laboratory, Department of Mechanical Engineering, Cleveland State University, Cleveland, OH 44115 USA.",,"D.",,"Simon",,,"Embedded Control Systems Research Laboratory, Department of Electrical Engineering and Computer Science, Cleveland State University, Cleveland, OH 44115 USA.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"journal","10.1109/TCST.2019.2914634",,,"","","IEEE Transactions on Control Systems Technology","1","14",,,,"",,
"A High-Fidelity Wearable System for Measuring Lower-Limb Kinetics and Kinematics",!!!put FileName Here!!!,,,,,,,"Force, Intelligent sensors, Kinematics, Accelerometers, Wireless sensor networks, Monitoring, Motion capture, human gait, wearable sensors, smart insole, embedded system","There are many important challenges in gait analysis, which has many applications in healthcare, rehabilitation, therapy, and exercise training. However, gait analysis is typically performed in a gait laboratory, which is inaccessible to the general population and is not available in natural gait environments (e.g., outdoors). In this paper, we discuss the development of a high-fidelity, cost-effective, wireless sensor network to address the challenge of efficient gait monitoring in real-world walking scenarios. The sensor network is designed in a modular way to capture plantar forces and knee angle, angular velocity, and angular acceleration. A force module called a smart insole is designed to measure the plantar forces. The module is comprised of force sensitive resistors (FSRs) and a signal conditioning circuit. Various signal conditioning techniques, including a novel technique called transfrequency, are investigated to provide a linear mapping for FSR measurements and to provide data acquisition fidelity. The motion module includes a low-cost inertial measurement unit (IMU) augmented with a Kalman filter to provide filtered knee kinematics. A qualitative evaluation of the sensor network communication module is achieved by considering the internal communication protocols between the modules and the external wireless transmission protocol used to deliver data to an end-point terminal PC. Experiments are conducted to validate the motion and force modules. Then, the overall, integrated system is compared to gold standard laboratory results, demonstrating a successful application for gait identification. The results show that the sensor network accurately captures important gait parameters and features.","M.",,"Abdelhady",,,"Electrical Engineering and Computer Science Department, Cleveland State University, Cleveland, OH, USA",,"A.",,"Bogert",,,"Mechanical Engineering Department, Cleveland State University, Cleveland, OH, USA",,"D.",,"Simon",,,"Electrical Engineering and Computer Science Department, Cleveland State University, Cleveland, OH, USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"journal","10.1109/JSEN.2019.2940517",,,"","","IEEE Sensors Journal","1","1",,,,"",,
"Differential particle swarm evolution for robot control tuning",!!!put FileName Here!!!,,,,,,,"active disturbance rejection control, evolutionary computation, mobile robots, particle swarm optimisation, differential particle swarm evolution, robot control tuning, DPSE algorithm, velocity, particle swarm optimization, PSO, differential mutation, function evaluation, real-world optimization problem, active disturbance rejection control, ADRC, PUMA-560 robot, Joints, Vectors, Benchmark testing, Cost function, Robots, Standards, Evolutionary computing, Optimization, Control applications","We present a differential particle swarm evolution (DPSE) algorithm which combines the basic idea of velocity and position update rules from particle swarm optimization (PSO) and the concept of differential mutation from differential evolution (DE) in a new way. With the goal of optimizing within a limited number of function evaluations, the algorithm is tested and compared with the standard PSO and DE methods on 14 benchmark problems to illustrate that DPSE has the potential to achieve a faster convergence and a better solution. Simulation results show that, on the average, DPSE outperforms DE by 39.20% and PSO by 14.92% on the 14 benchmark problems. To show the feasibility of the proposed strategy on a real-world optimization problem, an application of DPSE to optimize the parameters of active disturbance rejection control (ADRC) in PUMA-560 robot is presented.","Q.",,"Zheng",,,,,"D.",,"Simon",,,,,"H.",,"Richter",,,,,"Z.",,"Gao",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"conference proceeding","10.1109/ACC.2014.6858721",,,"","","2014 American Control Conference","5276","5281",,,,"4-6 June 2014",,
"System identification and control optimization of an active prosthetic knee in swing phase",!!!put FileName Here!!!,,,,,,,"DC motors, evolutionary computation, Kalman filters, particle swarm optimisation, prosthetics, quadratic programming, three-term control, velocity control, system identification, control optimization, active prosthetic knee, swing phase, DC motor, Mauch SNS prosthetic knee, evolutionary optimization, derivative-based optimization, system parameters, proportional-integral-derivative controller, PID, knee ankle tracking, Kalman filter, knee angle velocity, measured knee angle, integral square error, ISE, identification problem, particle swarm optimization, PSO, sequential quadratic programming, SQP, biogeography-based optimization, BBO, PID controller optimization, shank length, optimal proportional gain, optimal derivative, integral gains, DC motors, Optimization, Knee, Prosthetics, System identification, Kalman filters, Angular velocity","A DC motor is mounted to a Mauch SNS prosthetic knee to obtain an active prosthetic knee. Evolutionary optimization and derivative-based optimization are used to identify system parameters, and to tune a proportional-integral-derivative (PID) controller for knee ankle tracking during swing phase. A Kalman filter is used to estimate knee angle velocity on the basis of the measured knee angle for feedback to the controller. The performance of the optimization algorithms are evaluated based on integral square error (ISE) between experiment and simulation for the system identification problem, and tracking ISE for the control problem. Results show that for system identification, particle swarm optimization (PSO) gives better results than sequential quadratic programming (SQP) and biogeography-based optimization (BBO). Then PID controller optimization is performed while considering nine different shank lengths. BBO achieves the best average overall ISE, and PSO shows the fastest convergence. Finally, we see that increasing shank length results in an increase in the optimal proportional gain of the controller and a decrease in the optimal derivative and integral gains.","M.",,"Abdelhady",,,"Electrical Engineering and Computer Science Dept., Cleveland State University, Ohio, USA",,"A.",,"Rashvand",,,"Electrical Engineering and Computer Science Dept., Cleveland State University, Ohio, USA",,"M.",,"Moness",,,"Computers and Systems Engineering Dept., Minia University, Egypt",,"H.",,"Richter",,,"Mechanical Engineering Dept., Cleveland State University, Ohio, USA",,"D.",,"Simon",,,"Electrical Engineering and Computer Science Dept., Cleveland State University, Ohio, USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"conference proceeding","10.23919/ACC.2017.7963060",,,"","","2017 American Control Conference (ACC)","857","862",,,,"24-26 May 2017",,
"Robust composite adaptive transfemoral prosthesis control with non-scalar boundary layer trajectories",!!!put FileName Here!!!,,,,,,,"adaptive control, biomechanics, control system synthesis, medical robotics, prosthetics, robust control, uncertain systems, robust composite adaptive transfemoral prosthesis control, nonscalar boundary layer trajectories, robust composite adaptive impedance controller, bounded-gain forgetting, BGF, three degree-of-freedom active prosthetic leg, 3-DOF active prosthetic leg, transfemoral amputees, robust adaptive controller design, ground reaction forces, GRFs, parameter uncertainties, control signal chattering, tracking performance, tracking-error-based adaptation law, prediction-error-based adaptation law, TEB adaptation law, PEB adaptation law, parameter adaptation, tracking error, prediction error, uncertain parameter estimation, closed-loop system stability, prosthesis robot model, nonscalar boundary layer trajectory, prosthesis controller design, biomechanical properties, Robustness, Legged locomotion, Prosthetics, Trajectory, Adaptation models, Impedance","We propose a robust composite adaptive impedance controller with bounded-gain forgetting (BGF) for a three degree-of-freedom (3-DOF) active prosthetic leg for transfemoral amputees. We design a robust adaptive controller so the error trajectories converge to a boundary layer and the controller shows robustness to ground reaction forces (GRFs) and parameter uncertainties. The boundary layer not only compromises between control signal chattering and tracking performance, but also stops tracking-error-based (TEB) adaptation in the boundary layer to prevent unfavorable parameter drift. We then design a tracking-error-based / prediction-error-based (TEB/PEB) adaptation law, which drives parameter adaptation using both tracking error and prediction error on the joint torques to estimate the uncertain parameters of the system. We prove the stability of the closed-loop system for the prosthesis robot model using a non-scalar boundary layer trajectory. We design the prosthesis controller to imitate the biomechanical properties of able-bodied walking and to provide smooth gait. We finally present simulation results to confirm the effectiveness of the controller for both nominal and perturbed values of the system parameters. When the unknown system parameters deviate by 30% from their nominal values, we achieve more accurate parameter estimation and 6% improvement in tracking performance compared with the robust TEB adaptive controller.","V.",,"Azimi",,,"Cleveland State University, OH, USA",,"D.",,"Simon",,,"Cleveland State University, OH, USA",,"H.",,"Richter",,,"Cleveland State University, OH, USA",,"S.",,"Fakoorian",,,"Cleveland State University, OH, USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"conference proceeding","10.1109/ACC.2016.7525376",,,"","","2016 American Control Conference (ACC)","3002","3007",,,,"6-8 July 2016",,
"Optimal Mixed Tracking/Impedance Control With Application to Transfemoral Prostheses With Energy Regeneration",!!!put FileName Here!!!,,,,,,,"actuators, artificial limbs, control system synthesis, force control, gait analysis, manipulators, medical control systems, motion control, Pareto optimisation, position control, prosthetics, supercapacitors, tracking, vibration control, tracking performance, advanced control, ultracapacitor-based systems, transfemoral prostheses, optimal passivity, robotic manipulator, energy regenerative electronics, semiactively controlled joints, regenerative actuator, energy-storing element, external forces, energy regeneration characteristics, reference trajectories, multiobjective optimization, optimal impedance parameters, trajectory tracking, MOO problem, transfemoral prosthesis simulation, semiactive knee joint, relative coverage, time-varying impedance, constant impedance, minimum tracking error, tradeoff solution results, optimal mixed tracking-impedance control, Impedance, Manipulators, Supercapacitors, Prosthetics, Knee, Optimization, Energy regeneration, impedance control, multi-objective optimization, transfemoral prosthesis","Objective: We design an optimal passivity-based tracking/impedance control system for a robotic manipulator with energy regenerative electronics, where the manipulator has both actively and semi-actively controlled joints. The semi-active joints are driven by a regenerative actuator that includes an energy-storing element. Method: External forces can have a large influence on energy regeneration characteristics. Impedance control is used to impose a desired relationship between external forces and deviation from reference trajectories. Multi-objective optimization (MOO) is used to obtain optimal impedance parameters and control gains to compromise between the two conflicting objectives of trajectory tracking and energy regeneration. We solve the MOO problem under two different scenarios: 1) constant impedance; and 2) time-varying impedance. Results: The methods are applied to a transfemoral prosthesis simulation with a semi-active knee joint. Normalized hypervolume and relative coverage are used to compare Pareto fronts, and these two metrics show that time-varying impedance provides better performance than constant impedance. The solution with time-varying impedance with minimum tracking error (0.0008 rad) fails to regenerate energy (loses 9.53 J), while a solution with degradation in tracking (0.0452 rad) regenerates energy (gains 270.3 J). A tradeoff solution results in fair tracking (0.0178 rad) and fair energy regeneration (131.2 J). Conclusion: Our experimental results support the possibility of net energy regeneration at the semi-active knee joint with human-like tracking performance. Significance: The results indicate that advanced control and optimization of ultracapacitor-based systems can significantly reduce power requirements in transfemoral prostheses.","G.",,"Khademi",,,"Cleveland State University, Cleveland, OH, USA",,"H.",,"Mohammadi",,,"Cleveland State University",,"H.",,"Richter",,,"Mechanical Engineering DepartmentCleveland State University",,"D.",,"Simon",,,"Electrical Engineering and Computer Science DepartmentCleveland State University",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"journal","10.1109/TBME.2017.2725740",,,"65","4","IEEE Transactions on Biomedical Engineering","894","910",,,,"April 2018",,
